ISO,Latitude,Longitude,Source,,,,,,,,,
LAO,18,105,https://www.visalaos.com/travel-restrictions/,,,,,,,,,
LVA,57,25,https://www.latvia.travel/en/article/covid-19-and-travelling-latvia,,,,,,,,,
LBN,33.8333,35.8333,https://lb.usembassy.gov/covid-19-information/,,,,,,,,,
LSO,-29.5,28.5,https://www.gov.uk/foreign-travel-advice/lesotho/coronavirus,,,,,,,,,
LBR,6.5,-9.5,https://lr.usembassy.gov/covid-19-information/,,,,,,,,,
LBY,25,17,https://ly.usembassy.gov/u-s-citizen-services/covid-19-information/,,,,,,,,,
LIE,47.1667,9.5333,https://ch.usembassy.gov/covid-19-info/,,,,,,,,,
LTU,56,24,http://sumin.lrv.lt/en/news/travel-restrictions-regarding-covid-19,,,,,,,,,
LUX,49.75,6.1667,https://lu.usembassy.gov/covid-19-information/,,,,,,,,,
MAC,22.1667,113.55,https://hk.usconsulate.gov/covid-19-information/,,,,,,,,,
MDG,-20,47,https://mg.usembassy.gov/u-s-citizen-services/security-and-travel-information/covid-19-information/,,,,,,,,,
MWI,-13.5,34,https://mw.usembassy.gov/covid-19-information/,,,,,,,,,
MYS,2.5,112.5,https://my.usembassy.gov/u-s-citizen-services/covid-19-information/,,,,,,,,,
MDV,3.25,73,https://mv.usmission.gov/covid-19-information/,,,,,,,,,
MLI,17,-4,https://ml.usembassy.gov/covid-19-information/,,,,,,,,,
MLT,35.8333,14.5833,https://www.visitmalta.com/en/covid-19,,,,,,,,,
MHL,9,168,https://mh.usembassy.gov/covid-19-information/,,,,,,,,,
MRT,20,-12,https://mr.usembassy.gov/covid-19-information-2/,,,,,,,,,
MUS,-20.2833,57.55,https://www.tourism-mauritius.mu/en-int/mauritius-travel-alerts,,,,,,,,,
MEX,23,-102,https://mx.usembassy.gov/u-s-citizen-services/covid-19-information/,,,,,,,,,
FSM,6.9167,158.25,https://fm.usembassy.gov/covid-19-information/,,,,,,,,,
MDA,47,29,https://md.usembassy.gov/u-s-citizen-services/covid-19-information/,,,,,,,,,
MCO,43.7333,7.4,https://covid19.mc/en/limitations-de-deplacements/,,,,,,,,,
MNG,46,105,https://mn.usembassy.gov/covid-19-information/,,,,,,,,,
MNE,42,19,https://me.usembassy.gov/covid-19-information/,,,,,,,,,
MAR,32,-5,https://www.gov.uk/foreign-travel-advice/morocco/entry-requirements,,,,,,,,,
MOZ,-18.25,35,https://mz.usembassy.gov/covid-19-information-2/,,,,,,,,,
MMR,22,98,https://mm.usembassy.gov/covid-19-information/,,,,,,,,,
NAM,-22,17,https://na.usembassy.gov/covid-19-information/,,,,,,,,,
NRU,-0.5333,166.9167,https://fj.usembassy.gov/u-s-citizen-services/covid-19-information/,,,,,,,,,
NPL,28,84,https://np.usembassy.gov/covid-19-information/,,,,,,,,,
NLD,52.5,5.75,https://www.netherlandsandyou.nl/travel-and-residence/visas-for-the-netherlands/qas-travel-restrictions-for-the-netherlands,,,,,,,,,
NZL,-41,174,https://www.immigration.govt.nz/about-us/covid-19/border-closures-and-exceptions,,,,,,,,,
NIC,13,-85,https://ni.usembassy.gov/covid-19-information/,,,,,,,,,
NER,16,8,https://ne.usembassy.gov/u-s-citizen-services/covid-19-information/,,,,,,,,,
NGA,10,8,https://ng.usembassy.gov/u-s-citizen-services/covid-19-information/,,,,,,,,,
PRK,40,127,NA,,,,,,,,,
MKD,41.8333,22,https://mk.usembassy.gov/covid-19-information/,,,,,,,,,
NOR,62,10,https://avinor.no/en/information-in-connection-with-the-coronavirus-covid-19/,,,,,,,,,
OMN,21,57,https://om.usembassy.gov/covid-19-information/,,,,,,,,,
PAK,30,70,https://pk.usembassy.gov/covid-19-information/,,,,,,,,,
PLW,7.5,134.5,https://www.smartraveller.gov.au/destinations/pacific/palau,,,,,,,,,
PSE,32,35.25,https://www.gov.uk/foreign-travel-advice/the-occupied-palestinian-territories/entry-requirements,,,,,,,,,
PAN,9,-80,https://pa.usembassy.gov/covid-19-information/,,,,,,,,,
